读音,对应的汉字
ふ,"負, 腐, 践, 降, 殖, 普, 浮, 歩, 付, 父, 冨, 風, 膚, 扶, 噴, 更, 老, 富, 阜, 触, 怖, 譜, 振, 輔, 敷, 符, 夫, 婦, 赴, 不, 伏, 蒲, 布, 増, 化, 踏, 府, 吹, 釜"
ぶ,"不, 部, 打, 無, 分, 夫, 蒲, 歩, 舞, 武, 豊, 奉, 霧"
ほ,"舗, 彫, 掘, 乾, 歩, 浦, 捕, 賞, 帆, 保, 怖, 誉, 輔, 穂, 欲, 補, 蒲, 布, 反, 干"
ぼ,"模, 暮, 蒲, 母, 募, 簿, 墓, 呆"
ま,"負, 麻, 益, 磨, 交, 未, 馬, 間, 摩, 魔, 混, 舞, 曲, 待, 増, 先, 真, 巻"
み,"覧, 未, 実, 充, 美, 弥, 観, 味, 見, 魅, 診, 視, 満, 三, 看, 身"
む,"謀, 夢, 生, 蒸, 無, 群, 向, 武, 矛, 務, 産, 六, 霧"
め,"目, 芽, 女, 眼, 旋, 召, 愛"
も,"模, 漏, 若, 母, 喪, 盛, 持, 燃, 茂"
や,"弥, 夜, 蛇, 野, 病, 寝, 焼, 辞, 家, 止, 八, 也, 遣, 矢, 屋"
ゆ,"輸, 嫁, 油, 猶, 結, 遊, 行, 由, 往, 諭, 湯, 愉, 揺, 癒"
よ,"酔, 世, 選, 預, 四, 訓, 読, 拠, 呼, 詠, 代, 因, 誉, 与, 寄, 余, 能, 良, 夜, 避, 過, 隠, 善, 予, 祥, 由, 好, 止, 依"
り,"裏, 離, 栗, 李, 利, 梨, 里, 履, 理"
ろ,"露, 虜, 芦, 炉, 路, 盧"
わ,"破, 沸, 環, 輪, 把, 分, 話, 弁, 窪, 琶, 割, 我, 和, 羽, 別"
あつ,"集, 厚, 熱, 淳, 鳩, 敦, 圧, 暑, 会, 篤"
あや,"怪, 奇, 危, 殺, 綾, 妖, 文"
あわ,"併, 慌, 泡, 哀, 淡"
あん,"安, 行, 暗, 案, 闇"
いた,"悼, 惨, 板, 致, 至, 傷, 到, 労, 痛"
いつ,"五, 一, 逸, 斎, 乙"
いわ,"岩, 巌, 祝, 磐, 況, 斎"
いん,"姻, 引, 寅, 音, 飲, 院, 員, 因, 陰, 隠, 印"
うた,"詩, 詠, 謡, 歌, 欧"
うま,"生, 馬, 午, 巧, 旨, 甘"
うら,"裏, 浦, 恨, 麗, 憾, 末"
えい,"栄, 鋭, 衛, 詠, 英, 営, 映, 影, 泳, 永"
