读音,对应的汉字
かた,"方, 片, 難, 語, 硬, 渕, 型, 傾, 肩, 形, 堅, 固, 淵, 潟"
かたち,"体, 形"
かたな,刀
かつ,"勝, 曽, 担"
かつら,桂
かて,糧
かね,"金, 摂, 鐘"
かば,"樺, 蒲"
かぶ,"被, 株"
かべ,壁
かま,"缶, 構, 蒲, 釜, 鎌"
かみ,"紙, 髪, 守, 神, 上"
かみなり,雷
かめ,"亀, 瓶"
かも,"鴨, 醸"
から,"殻, 空, 絡, 唐, 辛, 韓"
からだ,体
かり,"猟, 仮, 権"
かれ,"伊, 彼"
かわ,"側, 川, 革, 皮, 代, 河, 乾, 交, 逓, 渇, 煕"
かわら,瓦
がら,"殻, 柄"
がわ,側
きさき,"妃, 后"
きし,岸
きず,"築, 創, 傷"
きた,"来, 鍛, 北"
きぬ,"衣, 絹"
きも,"胆, 肝"
きり,"霧, 桐"
きわ,"極, 際, 究, 窮, 谷"
くさ,"草, 腐, 臭"
くさり,鎖
くし,奇
くじら,鯨
くすのき,楠
くすり,薬
くず,"葛, 崩"
くせ,癖
くち,口
くちびる,唇
くつ,靴
くに,"邦, 国"
くび,首
くぼ,窪
くま,"曲, 熊, 奥, 阿"
くみ,"組, 与"
くも,"雲, 曇"
くら,"庫, 蔵, 幽, 夢, 競, 較, 倉, 比, 暗, 闇"
くらい,位
くり,栗
くるま,車
くれ,"呉, 暗"
くれない,紅
くろ,"玄, 黒"
くわ,"精, 桑, 加, 詳"
けむり,煙
けもの,獣
こい,恋
こう,姜
こうじ,麹
こえ,"肥, 声"
こおり,"氷, 郡"
こころ,"試, 心"
こころざし,志
こし,腰
こと,"異, 殊, 言, 事, 琴"
こな,粉
こぶし,拳
こま,"細, 困, 駒"
こめ,米
こよみ,暦
これ,"是, 之"
ころも,衣
さい,"埼, 崎"
さか,"坂, 逆, 栄, 盛, 阪"
さかい,"堺, 境"
さかな,魚
さき,"先, 往, 崎, 埼"
さくら,桜
さけ,"酒, 叫, 号"
ささ,"笹, 篠, 支"
さち,幸
さと,"郷, 啓, 諭, 暁, 聡, 覚, 里, 悟, 解"
さま,様
さむらい,"士, 侍"
さら,"皿, 更"
さる,"申, 猿"
さわ,"障, 沢, 騒, 触"
さん,様
しお,"塩, 潮"
しか,"然, 鹿"
しき,頻
した,"下, 親, 舌"
しの,"忍, 篠"
しば,"縛, 芝, 柴"
しぶ,渋
しま,"嶋, 嶌, 島, 洲"
しり,尻
しる,"印, 識, 録, 記, 汁"
しるべ,標
しろ,"白, 城, 代, 幽"
じゃ,戯
すえ,"陶, 末"
すがた,姿
すぎ,杉
すけ,助
すじ,"脈, 線, 条, 筋"
すず,"涼, 篠, 鈴"
すずめ,雀
すな,"砂, 沙"
すみ,"速, 隅, 墨, 炭"
すもも,李
せい,背
せき,"関, 堰"
そう,諏
そうろう,候
そこ,"損, 底"
そで,袖
そと,外
その,"園, 其"
そら,空
たい,平
たか,"高, 峻, 鷹, 喬"
たから,"宝, 貨, 珍, 財"
たき,滝
たく,巧
たくみ,匠
たけ,"丈, 岳, 竹, 武"
たたみ,畳
ただ,"縄, 訂, 直, 正, 糾, 弾, 唯, 質"
ただし,貞
たつ,"辰, 竜, 龍"
たて,"盾, 縦, 館"
たな,"棚, 店"
たに,谷
たね,種
たび,"度, 旅"
たま,"珠, 堪, 魂, 玉, 偶, 弾, 給, 霊, 球"
たまご,卵
たましい,魂
たみ,民
ため,"試, 為, 験"
たる,樽
たわら,俵
だれ,誰
ちから,力
ちち,"乳, 父"
つい,"費, 叙, 終, 序, 遂"
つか,"労, 柄, 発, 捕, 使, 仕, 遣, 束, 塚, 事, 支, 疲"
つかさ,台
つき,月
つぎ,次
つく,"創, 造, 属, 為, 作"
つくえ,"案, 机"
つじ,辻
つち,"椎, 土, 壌"
つつ,"筒, 慎, 包, 銃"
つつみ,堤
つづみ,鼓
つな,"綱, 紘"
つね,"常, 恒"
つばき,椿
つばさ,翼
つぶ,粒
つぼ,坪
つま,"妻, 最, 撮"
つみ,罪
つめ,冷
つゆ,"汁, 露"
つる,"弦, 鶴"
つるぎ,剣
てのひら,掌
てら,寺
てる,両
とうげ,峠
とき,"秋, 斎, 時"
とく,釈
とげ,刺
とこ,"床, 所"
ところ,"所, 処"
とし,"齢, 年, 歳"
とち,栃
とつ,"帰, 嫁"
となり,隣
とびら,扉
とみ,"富, 冨"
とも,"供, 倶, 点, 乏, 灯, 共, 友"
ともしび,灯
とら,"寅, 虎, 捕, 捉"
とり,"鶏, 鳥, 取"
とりこ,虜
とん,問
どろ,泥
ない,没
なえ,苗
なか,"仲, 半, 中"
なし,梨
なだ,灘
なつ,"懐, 夏"
など,等
なに,"那, 何"
なべ,鍋
なま,"妖, 生, 鈍, 怠"
なまり,鉛
なみ,"並, 波"
なみだ,涙
なわ,縄
なん,何
にく,"悪, 憎"
にし,西
にしき,錦
にせ,偽
にわ,庭
にわとり,鶏
ぬの,布
ぬま,沼
ねこ,猫
のち,後
のり,"則, 経, 芸, 典, 法, 準"
はい,"灰, 入"
はか,"墓, 諮, 権, 謀, 諏, 量, 経, 図, 画, 計, 測, 称, 略"
はぎ,萩
はこ,"函, 箱, 運"
はし,"走, 奔, 端, 橋"
はしら,柱
はじ,"創, 恥, 肇, 弾, 始, 初"
はじめ,肇
はす,"斜, 蓮"
はた,"果, 幡, 畑, 機, 傍, 端, 秦, 旗, 畠, 将"
はたけ,"畑, 畠"
はだ,"肌, 膚"
はだか,裸
はつ,"削, 初"
はと,鳩
はな,"離, 華, 話, 発, 端, 花, 放, 鼻"
はなし,話
はね,羽
はは,"姉, 母"
はば,"幅, 阻"
はま,浜
はやし,林
はら,"払, 腹, 原, 妊"
はり,針
はる,春
ひかり,光
ひがし,東
ひき,"率, 匹"
ひこ,彦
ひし,菱
ひじり,聖
ひたい,額
ひだり,左
ひつじ,"未, 羊"
ひま,暇
ひめ,"媛, 姫"
ひる,昼
